State,Year,MedianPrice
AK,2000,152485.738888889
AK,2001,170211.711111111
AK,2002,184433.983333333
AK,2003,193682.329787234
AK,2004,207289.854166667
AK,2005,197413.611231102
AK,2006,211530.615079365
AK,2007,222392.359126984
AK,2008,227302.401162791
AK,2009,222730.354166667
AK,2010,222851.589015152
AK,2011,220805.492424242
AK,2012,216269.60106383
AK,2013,220093.04964539
AK,2014,225386.335106383
AK,2015,233657.397163121
AK,2016,237447.984042553
AK,2017,239329.439236111
AK,2018,240886.307291667
AK,2019,254041.854166667
AK,2020,259789.112847222
AK,2021,270503.184895833
AL,2000,100924.00254065
AL,2001,106854.969289827
AL,2002,111619.463833635
AL,2003,114137.64582744
AL,2004,118228.898417985
AL,2005,124293.381254964
AL,2006,133483.778811369
AL,2007,138544.73925
AL,2008,137585.048121778
AL,2009,131446.226298343
AL,2010,123540.408507223
AL,2011,116320.712488263
AL,2012,110857.307718579
AL,2013,111268.610747271
AL,2014,112307.617077176
AL,2015,113861.687807198
AL,2016,115392.943201111
AL,2017,118377.13100834
AL,2018,122944.824686941
AL,2019,127898.222381842
AL,2020,133965.310911389
AL,2021,144658.522496372
AR,2000,66108.4922870557
AR,2001,69457.1067140951
AR,2002,71685.3350796769
AR,2003,73179.291206544
AR,2004,76977.9350465399
AR,2005,82599.1959241324
AR,2006,88237.0784274194
AR,2007,90521.1708937198
AR,2008,89683.9328778135
AR,2009,86117.7435643564
AR,2010,83819.0973571706
AR,2011,81199.1290877797
AR,2012,80614.1613320999
AR,2013,81085.6466607302
AR,2014,80784.7624131503
AR,2015,82636.6109427609
AR,2016,84865.0885567342
AR,2017,88314.8694638695
AR,2018,92669.0532418002
AR,2019,96804.7162223226
AR,2020,100191.615103176
AR,2021,106235.774912587
AZ,2000,141815.787575758
AZ,2001,150057.004816376
AZ,2002,157191.0592723
AZ,2003,165906.467555041
AZ,2004,181748.072763877
AZ,2005,231793.883847032
AZ,2006,281309.263984018
AZ,2007,277553.478881279
AZ,2008,233088.926310044
AZ,2009,184280.1022757
AZ,2010,166697.773824981
AZ,2011,149353.294132918
AZ,2012,156169.643937452
AZ,2013,180263.752141058
AZ,2014,194363.625156289
AZ,2015,201925.319561971
AZ,2016,212477.69259351
AZ,2017,223594.318496538
AZ,2018,238776.183275777
AZ,2019,251484.014344761
AZ,2020,272383.062742248
AZ,2021,322420.422028353
CA,2000,293975.669921749
CA,2001,328475.926542011
CA,2002,359039.860107378
CA,2003,403311.419276967
CA,2004,475100.271166647
CA,2005,558938.739911071
CA,2006,608420.188035145
CA,2007,571303.377080564
CA,2008,484946.959343196
CA,2009,408359.658423089
CA,2010,399689.930336844
CA,2011,374344.841856601
CA,2012,373956.58357216
CA,2013,437575.380044843
CA,2014,487747.117808358
CA,2015,516107.99055317
CA,2016,547703.134703311
CA,2017,579138.598497747
CA,2018,621777.339206176
CA,2019,624138.988691358
CA,2020,648342.680313331
CA,2021,716382.659632154
CO,2000,202426.121393035
CO,2001,224042.385034688
CO,2002,233137.204440107
CO,2003,236992.569940828
CO,2004,241333.870938004
CO,2005,252684.530178326
CO,2006,263870.765751575
CO,2007,270976.774744785
CO,2008,267053.762527233
CO,2009,251095.726724311
CO,2010,240484.417820238
CO,2011,230029.354021655
CO,2012,229558.804986974
CO,2013,242837.121481481
CO,2014,260713.766746192
CO,2015,282078.673905176
CO,2016,302764.797746781
CO,2017,322893.996813595
CO,2018,345372.340140845
CO,2019,357259.561742101
CO,2020,370127.3643608
CO,2021,410975.453482461
CT,2000,194433.325443787
CT,2001,210435.984870669
CT,2002,230832.224806202
CT,2003,264160.94348659
CT,2004,294341.183429119
CT,2005,330985.50047619
CT,2006,353269.992857143
CT,2007,350149.468690702
CT,2008,334633.695549242
CT,2009,311053.878787879
CT,2010,295632.719223485
CT,2011,280661.868209731
CT,2012,277532.123230373
CT,2013,285791.406730769
CT,2014,292993.947956577
CT,2015,295837.693497475
CT,2016,298879.683484801
CT,2017,303905.222707424
CT,2018,308719.403763109
CT,2019,309179.717682927
CT,2020,320274.687575758
CT,2021,366434.164545455
DC,2000,221573.746212121
DC,2001,248045.928030303
DC,2002,289654.125
DC,2003,337738.496212121
DC,2004,393509.678030303
DC,2005,468949.606060606
DC,2006,514554.859848485
DC,2007,513711.443181818
DC,2008,503884.227272727
DC,2009,480255.96969697
DC,2010,478025.363636364
DC,2011,471561.545454545
DC,2012,480447.833333333
DC,2013,545557.206521739
DC,2014,591412.434782609
DC,2015,600161.510869565
DC,2016,620532.934782609
DC,2017,649900.833333333
DC,2018,665190.583333333
DC,2019,692577.007246377
DC,2020,710247.844202899
DC,2021,744157.597826087
DE,2000,179968.386666667
DE,2001,198372.281666667
DE,2002,213416.773333333
DE,2003,239446.17
DE,2004,275979.051666667
DE,2005,319532.473333333
DE,2006,355596.981666667
DE,2007,359650.148333333
DE,2008,341761.336666667
DE,2009,313365.611893584
DE,2010,289757.433908046
DE,2011,265295.791316527
DE,2012,243606.70959596
DE,2013,245325.108585859
DE,2014,255322.676767677
DE,2015,259633.914141414
DE,2016,266630.726010101
DE,2017,271952.785353535
DE,2018,280705.428030303
DE,2019,287127.321969697
DE,2020,297284.983585859
DE,2021,330562.490530303
FL,2000,130130.708973081
FL,2001,141243.545725943
FL,2002,155324.657990733
FL,2003,172657.875195771
FL,2004,191244.223926941
FL,2005,236018.079524846
FL,2006,282460.173716558
FL,2007,271990.2437793
FL,2008,227062.682095443
FL,2009,183737.73962804
FL,2010,167521.148395722
FL,2011,152931.626640653
FL,2012,153137.356903249
FL,2013,169710.623411017
FL,2014,187713.137093927
FL,2015,200110.527807203
FL,2016,214612.060381356
FL,2017,228296.952860169
FL,2018,242115.299699859
FL,2019,255030.552258403
FL,2020,266325.142094204
FL,2021,297254.795164893
GA,2000,111135.635282021
GA,2001,119301.259671747
GA,2002,123596.540792876
GA,2003,125928.384143793
GA,2004,129764.894499795
GA,2005,135101.142953838
GA,2006,141908.949486764
GA,2007,146409.029130142
GA,2008,146806.129316091
GA,2009,133661.288527073
GA,2010,124151.147044025
GA,2011,114227.650853414
GA,2012,111330.650534959
GA,2013,118240.511460786
GA,2014,127805.833312996
GA,2015,135286.952073957
GA,2016,142665.938896987
GA,2017,150013.452588292
GA,2018,161150.09995183
GA,2019,170028.566091954
GA,2020,176467.182664756
GA,2021,191802.860610387
HI,2000,242997.717567568
HI,2001,258655.292715232
HI,2002,277513.744400527
HI,2003,316168.037760417
HI,2004,383642.173177083
HI,2005,485739.583333333
HI,2006,571723.209635417
HI,2007,580718.973958333
HI,2008,564446.8046875
HI,2009,511626.450520833
HI,2010,497838.673177083
HI,2011,493241.392535393
HI,2012,486338.815384615
HI,2013,509968.875641026
HI,2014,550288.692307692
HI,2015,543201.98172043
HI,2016,555126.938271605
HI,2017,575164.048632219
HI,2018,592956.812248996
HI,2019,608318.567269076
HI,2020,622370.541624875
HI,2021,672362.305970149
IA,2000,96040.8708693442
IA,2001,100984.594004065
IA,2002,103434.771302644
IA,2003,106471.438989514
IA,2004,111462.276473195
IA,2005,115785.133414436
IA,2006,120406.122807018
IA,2007,124208.040744643
IA,2008,124469.315109344
IA,2009,112656.474499859
IA,2010,107279.627148331
IA,2011,105479.41307815
IA,2012,106447.572684458
IA,2013,108205.672209026
IA,2014,110491.860283047
IA,2015,113546.161435416
IA,2016,116892.785364448
IA,2017,119952.899214781
IA,2018,123446.564997288
IA,2019,126667.207407407
IA,2020,129444.101340107
IA,2021,134000.83776352
ID,2000,97550.5535714286
ID,2001,138715.099730458
ID,2002,141386.416666667
ID,2003,144745.791666667
ID,2004,152399.041666667
ID,2005,159549.046904315
ID,2006,174818.215361446
ID,2007,199460.085081585
ID,2008,206474.016877637
ID,2009,189366.862845445
ID,2010,168258.061142397
ID,2011,154277.440219522
ID,2012,153846.426695842
ID,2013,165277.174258858
ID,2014,173069.064885496
ID,2015,178706.823743386
ID,2016,190078.548884514
ID,2017,205402.024934383
ID,2018,226643.480901077
ID,2019,247369.056161746
ID,2020,266797.2944922
ID,2021,309149.453897338
IL,2000,162719.475637643
IL,2001,172433.780016653
IL,2002,179986.295543393
IL,2003,188563.396815861
IL,2004,198073.335185185
IL,2005,209888.785459043
IL,2006,214502.200918342
IL,2007,213120.455567388
IL,2008,199936.487667128
IL,2009,158994.096678322
IL,2010,147643.085767348
IL,2011,137322.096023441
IL,2012,124083.71923274
IL,2013,127493.198459414
IL,2014,133273.469623503
IL,2015,136632.627888897
IL,2016,139896.366999372
IL,2017,143244.197082791
IL,2018,145903.457531675
IL,2019,147346.742868463
IL,2020,148968.064147742
IL,2021,157672.715425791
IN,2000,94855.8075949367
IN,2001,99778.1622137405
IN,2002,101216.971043771
IN,2003,113111.23605948
IN,2004,118550.293416928
IN,2005,124193.720379147
IN,2006,127210.603550296
IN,2007,127637.046665149
IN,2008,126054.834971763
IN,2009,114300.464135021
IN,2010,110999.339766379
IN,2011,107689.524420326
IN,2012,102475.436858262
IN,2013,103468.031361443
IN,2014,107010.263569122
IN,2015,110389.442133722
IN,2016,113865.097654628
IN,2017,119366.890099626
IN,2018,127467.321502698
IN,2019,135373.359519121
IN,2020,142148.943374741
IN,2021,154729.439956501
KS,2000,100983.47826087
KS,2001,163518.059701493
KS,2002,153246.356164384
KS,2003,151535.46259542
KS,2004,156392.407220217
KS,2005,160051.166987797
KS,2006,158898.34858519
KS,2007,159494.419501134
KS,2008,160881.611530172
KS,2009,146938.264971995
KS,2010,135482.584569733
KS,2011,125664.720845722
KS,2012,112980.505117125
KS,2013,114323.676053165
KS,2014,116509.171132239
KS,2015,120091.353846154
KS,2016,124514.025673669
KS,2017,128127.375494895
KS,2018,130125.726138726
KS,2019,133387.181218817
KS,2020,134807.80735344
KS,2021,142337.105968331
KY,2000,83628.142287234
KY,2001,87934.4011037528
KY,2002,90067.1860267573
KY,2003,90983.1838645418
KY,2004,93951.2678156468
KY,2005,97508.1223200613
KY,2006,100251.350686499
KY,2007,101905.304942966
KY,2008,101737.077181835
KY,2009,99278.6274819891
KY,2010,97333.4728552279
KY,2011,94350.8071182549
KY,2012,92893.1702463677
KY,2013,93176.7086457536
KY,2014,93447.7141185077
KY,2015,94272.5622389307
KY,2016,94850.7496755775
KY,2017,97974.5580458323
KY,2018,100489.792740472
KY,2019,104158.355842912
KY,2020,107266.090485298
KY,2021,112537.28624404
LA,2000,117648.291509434
LA,2001,125080.610486891
LA,2002,130713.197074673
