Zpid,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,Price Square FeetPrice/sqft,Bedrooms,Bathrooms,Full bathrooms,Features,Flooring,Heating features,Cooling features,Laundry features,Interior features,Total structure area,Total interior livable area,Total number of fireplaces,Fireplace features,Total spaces,Parking features,Garage spaces,Covered spaces,Levels,Stories,Pool features,Exterior features,Lot features,Special conditions,Home type,Architectural style,Property subType,Construction materials,Roof,Property condition,New construction,Year built,Electric information,Water information,Region,Subdivision,HOA fee,Amenities included,Services included,Association name,Association phone,Price Range,Listing Terms,Appliances included,Patio and porch details,Sewer information,Security features,Window features,Accessibility features,View description,Builder name,Entry location
24869311,Condominium,1971,Wall Furnace,None,1 Covered Parking space,$405 monthly,$543,1,1,1,Counter - Laminate,Laminate,Wall Furnace,None,Community Facility," Laminate Counters, No Additional Rooms, Elevator",772,772 sqft,0,None,1,Covered,1,1,One Story,1,Community,No Yard,Level,Standard,Condo,Other,Condominium,Other,Unknown,Existing,No,1971,No Solar,Public,Alameda,SOUTHSHORE,$405 monthly," Clubhouse, Greenbelt, Pool, Sauna"," Common Area Maint, Common Hot Water, Hazard Insurance, Security/Gate Fee, Trash, Water/Sewer",NOT LISTED,925-746-0542,$419K - $419K," Cash,Conventional,FHA",,,,,,,,,
24860437,2 Houses on 1 Lot,No Data,Other,No Air Conditioning,2 Parking spaces,,$418,4,4,,," Linoleum, Other",Other,No Air Conditioning," Dryer, Laundry Room, Washer",," 3,101"," 3,101 sqft",,,2," Off Street, Other",,,,,,Back Yard,2 Houses / 1 Lot,Standard,MultiFamily,,2 Houses on 1 Lot," Frame, Other",Composition Shingles,,,0,,Public,Alameda,,,,,,,$1.3M - $1.3M," Cash,Conventional"," Dryer, Washer, Gas Water Heater",Patio,Public Sewer,,,,,,
24860197,Detached,1909,Zoned,No Air Conditioning,"Off Street, Parking Spaces, Space Per Unit - 2, Parking Lot",,$566,6,5,4," Counter - Stone, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Range/Oven Free Standing, Refrigerator, Updated Kitchen",Wood,Zoned,No Air Conditioning,Washer/Dryer Stacked Incl," Stone Counters, Eat-in Kitchen, Updated Kitchen, Formal Dining Room, Storage, Utility Room"," 3,175"," 3,175 sqft",0,None,," Off Street, Parking Spaces, Space Per Unit - 2, Parking Lot",,,Two Story,2,None," Back Yard, Front Yard, Garden/Play, Side Yard, Sprinklers Automatic, Sprinklers Back, Sprinklers Front, Storage, Garden, Landscape Back, Landscape Front, Yard Space, Backyard"," Level, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily,Edwardian,Detached,Wood Siding," Composition Shingles,Wood",Existing,No,1909,No Solar,Public,Alameda,CENTRAL ALAMEDA,,,,,,$1.8M - $1.8M," Cash,Conventional"," Dishwasher, Disposal, Gas Range, Free-Standing Range, Refrigerator"," Patio, Rear Porch, Front Porch",Public Sewer,,,,,,
24863829,Detached,1910,"None, Other",None,Off Street,,$664,2,2,2,Other," Hardwood, Linoleum, Tile, Other"," None, Other",None,In Basement," Formal Dining Room, Storage"," 1,353"," 1,353 sqft",1," Dining Room, Other",,Off Street,,,Other,,None," Back Yard, Backyard",,Probate Listing,SingleFamily,,Detached," Wood Siding, Other",Composition Shingles," Existing,Fixer",No,1910,No Solar,Public,Alameda,WEST END,,,,,,$899K - $899K,Cash,Gas Water Heater,,Public Sewer,,,,,,
24856314,Detached,1906,Forced Air,None,1 Garage space,,$653,3,2,2,Counter - Laminate," Hardwood, Tile",Forced Air,None," Dryer, Laundry Room, Washer"," Laminate Counters, Bonus/Plus Room"," 1,760"," 1,760 sqft",1,Dining Room,1,Detached,1,1,Two Story,2,None," Back Yard, Front Yard, Side Yard, Backyard",Level,Standard,SingleFamily,Other,Detached,Wood Siding,Composition Shingles,Existing,No,1906,No Solar,,Alameda,EAST END,,,,,,$1.2M - $1.2M,Conventional," Dryer, Washer"," Deck, Wrap Around",Public Sewer,Smoke Detector(s),,,,,
24856855,Detached,1924,Forced Air,"Ceiling Fan(s), No Air Conditioning",1 Garage space,,$733,3,2,2," Breakfast Nook, Counter - Laminate, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Pantry, Range/Oven Free Standing, Refrigerator"," Hardwood, Linoleum, Tile, Vinyl",Forced Air," Ceiling Fan(s), No Air Conditioning"," 220 Volt Outlet, Dryer, Washer, Inside Room"," Central Vacuum, Breakfast Nook, Laminate Counters, Eat-in Kitchen, Pantry, Family Room, Formal Dining Room"," 2,040"," 2,040 sqft",1," Brick, Living Room, Wood Burning",1," Detached, Off Street, Workshop in Garage, Other, Garage Faces Front",1,1,One Story,1,None," Back Yard, Front Yard, Side Yard, Landscape Back, Landscape Front, Backyard"," Level, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily,Art Deco,Detached,Stucco,Rolled/Hot Mop,Existing,No,1924,No Solar,Public,Alameda,EAST END,,,,,,$1.5M - $1.5M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Free-Standing Range, Refrigerator"," Deck, Front Porch, Porch Steps",Public Sewer,Double Strapped Water Heater,Window Coverings,None,,,
24858539,Detached,1912,"Forced Air, Natural Gas","Ceiling Fan(s), No Air Conditioning",1 Attached Garage space,,$631,4,2,2," 220 Volt Outlet, Counter - Stone, Dishwasher, Eat In Kitchen, Garbage Disposal, Gas Range/Cooktop, Ice Maker Hookup, Island, Oven Built-in, Pantry, Refrigerator, Self-Cleaning Oven, Skylight(s), Trash Compactor"," Tile, Wood"," Forced Air, Natural Gas"," Ceiling Fan(s), No Air Conditioning"," 220 Volt Outlet, Dryer, Gas Dryer Hookup, In Basement, Washer"," Stone Counters, Eat-in Kitchen, Kitchen Island, Pantry, Bonus/Plus Room, Formal Dining Room"," 2,053"," 2,053 sqft",2," Brick, Dining Room, Insert, Living Room, Wood Burning",1," Attached, Garage, Int Access From Garage, Off Street, RV/Boat Parking",1,1,Three or More Stories,3,None," Back Yard, Dog Run, Front Yard, Side Yard, Sprinklers Front, Storage"," Level, Regular",Standard,SingleFamily,Craftsman,Detached,Wood Shingles,Composition Shingles,Existing,No,1912," No Solar, 220 Volts in Kitchen",Public,Alameda,EAST END,,,,,,$1.3M - $1.3M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Plumbed For Ice Maker, Oven, Refrigerator, Self Cleaning Oven, Trash Compactor, ENERGY STAR Qualified Appliances",Deck,Public Sewer,," Double Pane Windows, Skylight(s)",None,,,
24864779,Townhouse,1972,"Electric, Forced Air",None,2 Garage spaces,$465 monthly,$642,3,2,2," Counter - Solid Surface, Dishwasher, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Hardwood, Wood"," Electric, Forced Air",None," Dryer, Washer"," Counter - Solid Surface, Updated Kitchen, No Additional Rooms"," 1,479"," 1,479 sqft",1," Gas, Living Room",2," Garage Door Opener, Detached",2,2,Two Story,2,Community,Back Yard,Corner Lot,Standard,Townhouse,Contemporary,Townhouse,Wood Siding,Tar/Gravel,Existing,No,1972,No Solar,Public,Alameda,EAST END,$465 monthly," Clubhouse, Pool",Water/Sewer,RAVENS COVE,510-888-8981,$949K - $949K," Cash,Conventional"," Dryer, Washer, Dishwasher, Free-Standing Range, Refrigerator",Patio,Public Sewer,,,None,Water,,
24870136,Detached,1984,"MultiUnits, Central",None,2 Attached Garage spaces,$261 monthly,$680,4,3,2," Counter - Stone, Dishwasher, Garbage Disposal, Gas Range/Cooktop, Microwave, Range/Oven Free Standing, Refrigerator, Updated Kitchen"," Tile, Bamboo"," MultiUnits, Central",None," 220 Volt Outlet, Dryer, Laundry Room, Washer, Cabinets"," Stone Counters, Updated Kitchen, Family Room, Kitchen/Family Combo"," 2,344"," 2,344 sqft",1,Living Room,2," Garage Door Opener, Attached, Int Access From Garage",2,2,Two Story,2,None," Back Yard, Front Yard, Backyard"," Cul-De-Sac, Level, Landscape Back, Landscape Front",Standard,SingleFamily,Contemporary,Detached,Wood Siding,Composition Shingles,Existing,No,1984,No Solar,Public,Alameda,CLIPPER COVE,$261 monthly," Greenbelt, Playground"," Common Area Maint, Management Fee, Reserves",HARBOR BAY ISLE,510-865-3363,$1.6M - $1.6M," Cash,Conventional"," Dryer, Washer, Gas Water Heater, Dishwasher, Disposal, Gas Range, Microwave, Free-Standing Range, Refrigerator",Patio,Public Sewer," Carbon Monoxide Detector(s), Double Strapped Water Heater, Smoke Detector(s)",,,,,
24856867,Detached,1980,"Forced Air, Natural Gas",None,2 Attached Garage spaces,$300 quarterly,$551,3,3,2," Breakfast Bar, Counter - Stone, Dishwasher, Eat In Kitchen, Electric Range/Cooktop, Garbage Disposal, Range/Oven Free Standing, Self-Cleaning Oven, Updated Kitchen"," Tile, Vinyl, Carpet"," Forced Air, Natural Gas",None," Hookups Only, Laundry Room"," Breakfast Bar, Stone Counters, Eat-in Kitchen, Updated Kitchen, Bonus/Plus Room, Den, Dining Area, Family Room, Formal Dining Room, Kitchen/Family Combo, Office"," 2,169"," 2,169 sqft",2," Family Room, Gas, Living Room",2," Garage Door Opener, Attached, Int Access From Garage",2,2,Two Story,2,None," Back Yard, Front Yard, Side Yard, Landscape Back, Landscape Front, Backyard"," Level, Regular, Front Yard, Landscape Back, Landscape Front",Standard,SingleFamily,Contemporary,Detached,Stucco,Unknown,Existing,No,1980,No Solar,Public,Alameda,EAST END,$300 quarterly,Other,Other,NOT LISTED,415-342-1463,$1.2M - $1.2M," Cash,Conventional"," Gas Water Heater, Dishwasher, Electric Range, Disposal, Free-Standing Range, Self Cleaning Oven",Patio,Public Sewer," Carbon Monoxide Detector(s), Smoke Detector(s)",,,,,
