zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price Square FeetPrice/sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
24869311,965 Shorepoint Ct APT 204,94501,Alameda,CA,37.76202,-122.2692,419000.0,1,1,772.0,CONDO,0,451700.0,2163.0,2021-09-25 05:53:23.000000,184600.0,101259.99999999999,,1971,543.0,Yes,Yes,No,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24860437,2057 San Jose Ave,94501,Alameda,CA,37.764296,-122.25267099999999,1295000.0,4,4,3101.0,MULTI_FAMILY,0,1590400.0,4419.0,2021-09-25 03:28:24.000000,130505.0,7500.0,,2021,418.0,Yes,Yes,No,2,Yes,0,No,No,0,76,C,B,B-,B+
24860197,2154 Santa Clara Ave,94501,Alameda,CA,37.767182,-122.24717199999999,1798000.0,5,6,3175.0,SINGLE_FAMILY,0,1617900.0,2991.0,2021-09-25 02:38:20.000000,711168.0,10400.0,2002-10-11 07:00:00.000000,1909,566.0,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+
24863829,612 Haight Ave,94501,Alameda,CA,37.774065,-122.27871200000001,899000.0,2,2,1353.0,SINGLE_FAMILY,0,1041400.0,2027.0,2021-09-25 01:23:17.000000,742607.0,3744.0,,1910,664.0,Yes,Yes,No,0,Yes,1,No,No,0,76,C,B,B-,B+
24856314,1109 Mound St,94501,Alameda,CA,37.756038000000004,-122.238759,1150000.0,2,3,1760.0,SINGLE_FAMILY,0,1544200.0,3780.0,2021-09-24 11:03:11.000000,945261.0,4004.0,2007-08-14 07:00:00.000000,1906,653.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24856855,3006 Central Ave,94501,Alameda,CA,37.75886,-122.233419,1495000.0,2,3,2040.0,SINGLE_FAMILY,0,1707100.0,4117.0,2021-09-24 08:43:07.000000,764242.0,6625.0,2002-06-28 07:00:00.000000,1924,733.0,Yes,Yes,Yes,1,Yes,1,No,Yes,1,76,C,B,B-,B+
24858539,1233 Versailles Ave,94501,Alameda,CA,37.758815999999996,-122.239268,1295000.0,2,4,2053.0,SINGLE_FAMILY,0,1393200.0,3814.0,2021-09-24 06:18:11.000000,198795.0,9282.0,,1912,631.0,Yes,Yes,Yes,1,Yes,2,No,No,3,76,C,B,B-,B+
24864779,333 Driftwood Ln,94501,Alameda,CA,37.750395000000005,-122.238106,949000.0,2,3,1479.0,TOWNHOUSE,0,1062200.0,3469.0,2021-09-24 05:13:14.000000,911361.0,966.0,2016-09-27 07:00:00.000000,1972,642.0,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+
24870136,55 Crane Ct,94502,Alameda,CA,37.741414,-122.247527,1595000.0,3,4,2344.0,SINGLE_FAMILY,0,1708800.0,4778.0,2021-09-24 03:13:09.000000,1262435.0,4100.0,2019-04-22 07:00:00.000000,1984,680.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+
24856867,2904 Central Ave,94501,Alameda,CA,37.759443,-122.234224,1195000.0,3,3,2169.0,SINGLE_FAMILY,0,1370300.0,4500.0,2021-09-24 02:38:13.000000,393852.0,5255.0,,1980,551.0,Yes,Yes,No,2,Yes,2,No,Yes,2,76,C,B,B-,B+
24856612,3265 Encinal Ave,94501,Alameda,CA,37.754951,-122.23163100000001,1195000.0,2,2,1758.0,SINGLE_FAMILY,1,1510000.0,3058.0,2021-09-24 00:48:27.000000,1016134.0,5500.0,2007-06-29 07:00:00.000000,1929,680.0,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24872381,1133 Straub Way,94502,Alameda,CA,37.736083,-122.250876,895000.0,3,2,1198.0,SINGLE_FAMILY,1,1070400.0,3428.0,2021-09-24 00:38:12.000000,745010.0,2100.0,2014-11-26 08:00:00.000000,1989,747.0,Yes,Yes,No,2,Yes,1,Yes,No,2,76,C,B,B-,B+
24860931,1112 Union St,94501,Alameda,CA,37.767272999999996,-122.256561,1195000.0,2,3,1426.0,SINGLE_FAMILY,1,1455900.0,3755.0,2021-09-23 23:13:20.000000,1212431.0,3528.0,2019-12-18 08:00:00.000000,1912,838.0,Yes,Yes,No,0,Yes,2,No,No,2,76,C,B,B-,B+
2069325896,"Leeward - Plan 7 Plan, Leeward at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,1750000.0,5,5,3332.0,TOWNHOUSE,1,1750000.0,3788.0,2021-09-23 12:16:00.000000,514005.0,286533.7060621498,,2021,525.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614817,"Plan 1 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,875990.0,3,2,1298.0,CONDO,2,875990.0,4140.0,2021-09-22 12:16:00.000000,514005.0,286533.7060621498,,2021,675.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
111390220,351 Laguna Vis,94501,Alameda,CA,37.752911,-122.24370800000001,1148000.0,3,3,1780.0,SINGLE_FAMILY,2,1306900.0,3949.0,2021-09-22 11:53:07.000000,364653.0,3596.0,1995-01-26 08:00:00.000000,1964,645.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+
2071593635,"Crest - Plan 2 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,980000.0,4,2,1448.0,CONDO,2,980000.0,3788.0,2021-09-22 08:16:00.000000,514005.0,286533.7060621498,,2021,677.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
24857078,2990 Johnson Ave,94501,Alameda,CA,37.760847,-122.232542,1198000.0,2,4,1800.0,SINGLE_FAMILY,2,1198000.0,2434.0,2021-09-22 01:58:18.000000,686944.0,3605.0,2002-02-14 08:00:00.000000,1909,666.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+
2071593634,"Crest - Plan 3 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.29173600000001,1315000.0,4,3,2442.0,CONDO,3,1315000.0,3788.0,2021-09-21 12:16:00.000000,514005.0,286533.7060621498,,2021,538.0,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614819,"Plan 1 Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,785990.0,2,1,1000.0,TOWNHOUSE,3,785990.0,4140.0,2021-09-21 08:16:00.000000,514005.0,286533.7060621498,,2021,786.0,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
2071614814,"Plan 3B Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,825990.0,2,2,1102.0,TOWNHOUSE,3,825990.0,4140.0,2021-09-21 04:16:00.000000,514005.0,286533.7060621498,,2021,750.0,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24870636,111 Sherwood Ln,94502,Alameda,CA,37.746311,-122.250375,1790000.0,3,4,2256.0,SINGLE_FAMILY,4,1790000.0,4500.0,2021-09-20 12:53:12.000000,621005.0,5000.0,1993-12-20 08:00:00.000000,1987,793.0,Yes,Yes,No,2,Yes,1,No,Yes,2,76,C,B,B-,B+
2071614825,"Plan 3 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,925990.0,2,2,1553.0,CONDO,5,925990.0,4140.0,2021-09-20 00:16:00.000000,514005.0,286533.7060621498,,2021,596.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2071614820,"Plan 4 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,960990.0,3,2,1551.0,CONDO,5,960990.0,4140.0,2021-09-19 08:16:00.000000,514005.0,286533.7060621498,,2021,620.0,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
